'Year','Month','value','Model_fit','Test_Predictions','mae_base_test','mape_base_test','mae_train_base','mape_train_base',
2010,3,81.49,,,'1.1118930005999441','0.014393418205568739','4.376741667592334','0.07101443843464852','81,485'
2010,4,'84.29285714285714','81.11140858139241',,,,,,
2010,5,'73.7435','83.8249273823693',,,,,,
2010,6,'75.3359090909091','73.63000738147696',,,,,,
2010,7,'76.31952380952382','75.16891473579894',,,,,,
2010,8,'76.59909090909092','76.1194819819526',,,,,,
2010,9,'75.24190476190476','76.3896561903306',,,,,,
2010,10,'81.89285714285714','75.07806876282079',,,,,,
2010,11,'84.25285714285714','81.50556254612347',,,,,,
2010,12,'89.14590909090909','83.7862713017652',,,,,,
2011,1,'89.1705','88.51492656436346',,,,,,
2011,2,'88.57842105263158','88.53869126846213',,,,,,
2011,3,'102.85652173913043','87.96650498062556',,,,,,
2011,4,'109.5325','101.76489025589342',,,,,,
2011,5,'100.90047619047618','108.21656909997778',,,,,,
2011,6,'96.26409090909091','99.87456389604182',,,,,,
2011,7,'97.3035','95.39395181731985',,,,,,
2011,8,'86.33304347826088','96.39843885729017',,,,,,
2011,9,'85.51523809523809','85.79656756808791',,,,,,
2011,10,'86.32238095238095','85.00623879797307',,,,,,
2011,11,'97.16047619047619','85.78626328159147',,,,,,
2011,12,'98.56285714285715','96.26022035955874',,,,,,
2012,1,'100.2735','97.61548413788097',,,,,,
2012,2,102.20,'99.26865284214439',,,,,,
2012,3,'106.15772727272729','101.13429193229962',,,,,,
2012,4,103.32,'104.9551819358287',,,,,,
2012,5,'94.65454545454546','102.21376298316905',,,,,,
2012,6,'82.30333333333333','93.83848384664817',,,,,,
2012,7,'87.8952380952381','81.90224756375123',,,,,,
2012,8,'94.13130434782609','87.30627559391687',,,,,,
2012,9,'94.51368421052632','93.33282258673015',,,,,,
2012,10,'89.4913043478261','93.70235525657824',,,,,,
2012,11,'86.53142857142858','88.84871723665489',,,,,,
2012,12,'87.8595','85.98828732189146',,,,,,
2013,1,'94.75666666666667','87.27173822666283',,,,,,
2013,2,'95.30894736842104','93.93717399182682',,,,,,
2013,3,'92.9385','94.47089917490443',,,,,,
2013,4,'92.02136363636363','92.18009406136808',,,,,,
2013,5,'94.50954545454546','91.29377163142618',,,,,,
2013,6,'95.77250000000001','93.69835555445832',,,,,,
2013,7,'104.67090909090908','94.91887737216837',,,,,,
2013,8,'106.57272727272726','103.51831784882866',,,,,,
2013,9,'106.2895','105.35623877209619',,,,,,
2013,10,'100.53826086956522','105.0825273650006',,,,,,
2013,11,93.86,'99.52451828001249',,,,,,
2013,12,'97.6252380952381','93.07449912634539',,,,,,
2014,1,'94.61714285714285','96.7093672008635',,,,,,
2014,2,'100.81736842105263','93.80233790114823',,,,,,
2014,3,'100.80380952380953','99.79424838020023',,,,,,
2014,4,'102.06904761904761','99.78114503458194',,,,,,
2014,5,'102.17714285714285','101.00387367940436',,,,,,
2014,6,'105.7942857142857','101.10833713532259',,,,,,
2014,7,'103.58863636363638','104.6039512813788',,,,,,
2014,8,'96.53619047619047','102.47240730430192',,,,,,
2014,9,'93.21190476190476','95.65690938727336',,,,,,
2014,10,'84.39695652173914','92.44431297421144',,,,,,
2014,11,'75.78947368421052','83.92552923189177',,,,,,
2014,12,'59.29045454545455','75.60724047274455',,,,,,
2015,1,47.22,'59.66255512983724',,,,,,
2015,2,'50.58421052631579','47.99667713189259',,,,,,
2015,3,'47.82363636363636','51.248823365768075',,,,,,
2015,4,'54.45285714285714','48.58099893211497',,,,,,
2015,5,59.27,'54.987491251712825',,,,,,
2015,6,'59.819545454545455','59.637955805816446',,,,,,
2015,7,'50.90090909090909','60.17386965055506',,,,,,
2015,8,'42.86761904761905','51.55488149677108',,,,,,
