Date, Value
2010-03-08,81.8500
2010-03-09,81.5000
2010-03-10,82.0700
2010-03-11,82.1000
2010-03-12,81.2600
2010-03-15,79.7900
2010-03-16,81.7500
2010-03-17,82.9300
2010-03-18,82.1600
2010-03-19,80.5800
2010-03-22,81.2600
2010-03-23,81.6800
2010-03-24,80.2900
2010-03-25,80.2500
2010-03-26,79.7500
2010-03-29,81.9200
2010-03-30,82.1400
2010-03-31,83.4500
2010-04-01,84.5300
2010-04-05,86.3600
2010-04-06,86.5400
2010-04-07,85.6400
2010-04-08,85.1700
2010-04-09,84.6000
2010-04-12,84.0700
2010-04-13,83.8000
2010-04-14,85.6200
2010-04-15,85.2500
2010-04-16,82.9700
2010-04-19,81.5200
2010-04-20,82.9800
2010-04-21,82.7800
2010-04-22,82.8900
2010-04-23,84.3400
2010-04-26,84.2000
2010-04-27,82.4300
2010-04-28,83.2200
2010-04-29,85.1700
2010-04-30,86.0700
2010-05-03,86.1900
2010-05-04,82.7300
2010-05-05,80.0000
2010-05-06,77.1800
2010-05-07,75.1000
2010-05-10,76.8900
2010-05-11,76.3700
2010-05-12,75.6500
2010-05-13,74.3800
2010-05-14,71.6100
2010-05-17,70.0800
2010-05-18,69.3800
2010-05-19,69.9100
2010-05-20,68.2800
2010-05-21,68.0300
2010-05-24,68.2300
2010-05-25,64.7800
2010-05-26,71.5200
2010-05-27,74.5600
2010-05-28,74.0000
2010-06-01,72.7000
2010-06-02,72.8800
2010-06-03,74.6200
2010-06-04,71.4300
2010-06-07,71.5500
2010-06-08,71.8800
2010-06-09,74.3800
2010-06-10,75.4800
2010-06-11,73.8900
2010-06-14,74.9900
2010-06-15,76.8400
2010-06-16,77.6700
2010-06-17,76.8200
2010-06-18,77.1800
2010-06-21,77.8400
2010-06-22,77.1500
2010-06-23,75.9000
2010-06-24,75.9600
2010-06-25,78.4500
2010-06-28,78.2600
2010-06-29,75.9300
2010-06-30,75.5900
2010-07-01,72.9500
2010-07-02,72.0600
2010-07-06,71.9600
2010-07-07,74.0500
2010-07-08,75.4600
2010-07-09,76.0800
2010-07-12,74.9300
2010-07-13,77.1600
2010-07-14,77.0200
2010-07-15,76.6700
2010-07-16,75.9600
2010-07-19,76.5300
2010-07-20,77.3200
2010-07-21,76.2700
2010-07-22,79.0100
2010-07-23,78.6800
2010-07-26,78.9300
2010-07-27,77.4600
2010-07-28,77.0600
2010-07-29,78.3000
2010-07-30,78.8500
2010-08-02,81.2500
2010-08-03,82.5200
2010-08-04,82.4900
2010-08-05,82.0000
2010-08-06,80.6700
2010-08-09,81.4600
2010-08-10,80.2400
2010-08-11,78.0900
2010-08-12,75.6800
2010-08-13,75.3900
2010-08-16,75.1700
2010-08-17,75.7600
2010-08-18,75.3900
2010-08-19,74.4500
2010-08-20,73.4500
2010-08-23,72.7100
2010-08-24,71.2400
2010-08-25,72.0700
2010-08-26,73.3600
2010-08-27,75.1700
2010-08-30,74.6900
2010-08-31,71.9300
2010-09-01,73.9700
2010-09-02,74.9900
2010-09-03,74.5200
2010-09-07,73.9800
2010-09-08,74.6500
